Zeit	Kanal A	Kanal B
(s)	(V)	(V)
-17.34733436	0.23804440	2.66731800
-17.34600036	0.23743400	2.67494700
-17.34466636	0.23804440	2.67494700
-17.34333236	0.23804440	2.67494700
-17.34199836	0.23880730	2.67494700
-17.34066436	0.23957030	2.67494700
-17.33933036	0.24018070	2.67494700
-17.33799636	0.24094360	2.67494700
-17.33666236	0.24094360	2.67494700
-17.33532836	0.24018070	2.67494700
-17.33399436	0.24094360	2.67494700
-17.33266036	0.24170660	2.67494700
-17.33132636	0.24307990	2.67494700
-17.32999236	0.24384290	2.68105100
-17.32865836	0.24445330	2.68105100
-17.32732436	0.24521620	2.68105100
-17.32599036	0.24445330	2.68868100
-17.32465636	0.24384290	2.68868100
-17.32332236	0.24384290	2.68868100
-17.32198836	0.24384290	2.68868100
-17.32065436	0.24597920	2.68868100
-17.31932036	0.24735250	2.68868100
-17.31798636	0.24796290	2.68868100
-17.31665236	0.24796290	2.68868100
-17.31531836	0.24796290	2.69631000
-17.31398436	0.24872580	2.69631000
-17.31265036	0.24948880	2.69631000
-17.31131636	0.25009920	2.69631000
-17.30998236	0.25086220	2.70241400
-17.30864836	0.25162510	2.70241400
-17.30731436	0.25223550	2.70241400
-17.30598036	0.25162510	2.70241400
-17.30464636	0.25086220	2.70241400
-17.30331236	0.25162510	2.70241400
-17.30197836	0.25223550	2.70241400
-17.30064436	0.25299840	2.70241400
-17.29931036	0.25376140	2.70241400
-17.29797636	0.25437180	2.70241400
-17.29664236	0.25513470	2.71004400
-17.29530836	0.25513470	2.71004400
-17.29397436	0.25513470	2.71004400
-17.29264036	0.25589770	2.71004400
-17.29130636	0.25727100	2.71004400
-17.28997236	0.25864440	2.71614700
-17.28863836	0.25940730	2.71614700
-17.28730436	0.25940730	2.72377700
-17.28597036	0.25940730	2.72377700
-17.28463636	0.25940730	2.72377700
-17.28330236	0.25940730	2.72377700
-17.28196836	0.25940730	2.72377700
-17.28063436	0.26078070	2.73140700
-17.27930036	0.26230660	2.73751000
-17.27796636	0.26291700	2.74514000
-17.27663236	0.26230660	2.74514000
-17.27529836	0.26230660	2.74514000
-17.27396436	0.26230660	2.74514000
-17.27263036	0.26367990	2.74514000
-17.27129636	0.26505320	2.75124400
-17.26996236	0.26657920	2.75124400
-17.26862836	0.26795250	2.75124400
-17.26729436	0.26871550	2.75124400
-17.26596036	0.26871550	2.75887300
-17.26462636	0.26795250	2.76650300
-17.26329236	0.26795250	2.76650300
-17.26195836	0.26795250	2.77260700
-17.26062436	0.26932590	2.77260700
-17.25929036	0.27008880	2.77260700
-17.25795636	0.27069920	2.77260700
-17.25662236	0.27069920	2.77260700
-17.25528836	0.27069920	2.78023600
-17.25395436	0.27069920	2.78634000
-17.25262036	0.27146210	2.78634000
-17.25128636	0.27359840	2.78634000
-17.24995236	0.27573470	2.78634000
-17.24861836	0.27649770	2.79397000
-17.24728436	0.27710810	2.79397000
-17.24595036	0.27710810	2.80159900
-17.24461636	0.27787100	2.80159900
-17.24328236	0.27787100	2.80159900
-17.24194836	0.27787100	2.80159900
-17.24061436	0.28000730	2.80770300
-17.23928036	0.28138070	2.80770300
-17.23794636	0.28214360	2.81533200
-17.23661236	0.28214360	2.82143600
-17.23527836	0.28138070	2.82906600
-17.23394436	0.28214360	2.83669500
-17.23261036	0.28290660	2.84279900
-17.23127636	0.28427990	2.85042900
-17.22994236	0.28565330	2.85042900
-17.22860836	0.28717920	2.85805800
-17.22727436	0.28855250	2.86416200
-17.22594036	0.28855250	2.87179200
-17.22460636	0.28855250	2.87179200
-17.22327236	0.28931550	2.87789600
-17.22193836	0.29068880	2.88552500
-17.22060436	0.29282510	2.89315500
-17.21927036	0.29419840	2.89925800
-17.21793636	0.29496140	2.89925800
-17.21660236	0.29557180	2.90688800
-17.21526836	0.29633470	2.91299200
-17.21393436	0.29709770	2.92062100
-17.21260036	0.29770810	2.92825100
-17.21126636	0.29923400	2.92825100
-17.20993236	0.30137030	2.93435500
-17.20859836	0.30274360	2.94198400
-17.20726436	0.30350660	2.94808800
-17.20593036	0.30350660	2.95571800
-17.20459636	0.30350660	2.95571800
-17.20326236	0.30411690	2.96334700
-17.20192836	0.30564290	2.96334700
-17.20059436	0.30701620	2.96945100
-17.19926036	0.30777920	2.97708100
-17.19792636	0.30915250	2.98318400
-17.19659236	0.30991550	2.99081400
-17.19525836	0.30991550	2.99081400
-17.19392436	0.30991550	2.99081400
-17.19259036	0.31128880	2.99081400
-17.19125636	0.31342510	2.99844400
-17.18992236	0.31479840	3.00454700
-17.18858836	0.31617180	3.01217700
-17.18725436	0.31693470	3.01980600
-17.18592036	0.31769770	3.01980600
-17.18458636	0.31769770	3.02591000
-17.18325236	0.31769770	3.03354000
-17.18191836	0.31830810	3.03964400
-17.18058436	0.31983400	3.03964400
-17.17925036	0.32120730	3.03964400
-17.17791636	0.32197030	3.04727300
-17.17658236	0.32258060	3.04727300
-17.17524836	0.32334360	3.05490300
-17.17391436	0.32410660	3.06100600
-17.17258036	0.32547990	3.06863600
-17.17124636	0.32685320	3.07474000
-17.16991236	0.32898950	3.07474000
-17.16857836	0.33051540	3.07474000
-17.16724436	0.33112580	3.08237000
-17.16591036	0.33051540	3.08999900
-17.16457636	0.32975250	3.09610300
-17.16324236	0.33051540	3.09610300
-17.16190836	0.33112580	3.10983600
-17.16057436	0.33326210	3.10983600
-17.15924036	0.33402510	3.11746600
-17.15790636	0.33539840	3.12509500
-17.15657236	0.33692430	3.13119900
-17.15523836	0.33616140	3.13119900
-17.15390436	0.33692430	3.13882900
-17.15257036	0.33829770	3.13882900
-17.15123636	0.34043400	3.13882900
-17.14990236	0.34257030	3.13882900
-17.14856836	0.34394360	3.13882900
-17.14723436	0.34470660	3.13882900
-17.14590036	0.34531690	3.13882900
-17.14456636	0.34531690	3.13882900
-17.14323236	0.34531690	3.13882900
-17.14189836	0.34607990	3.13882900
-17.14056436	0.34821620	3.13882900
-17.13923036	0.35035250	3.15256200
-17.13789636	0.35111550	3.15256200
-17.13656236	0.35111550	3.15256200
-17.13522836	0.35111550	3.15256200
-17.13389436	0.35248880	3.15256200
-17.13256036	0.35386210	3.16019200
-17.13122636	0.35538800	3.16019200
-17.12989236	0.35676140	3.16019200
-17.12855836	0.35813470	3.16019200
-17.12722436	0.35966060	3.16019200
-17.12589036	0.35966060	3.16629500
-17.12455636	0.35966060	3.16629500
-17.12322236	0.35966060	3.16629500
-17.12188836	0.36103400	3.16629500
-17.12055436	0.36240730	3.17392500
-17.11922036	0.36378060	3.17392500
-17.11788636	0.36530660	3.18155500
-17.11655236	0.36591690	3.18765800
-17.11521836	0.36667990	3.19528800
-17.11388436	0.36805320	3.20139200
-17.11255036	0.36881620	3.20902100
-17.11121636	0.37095250	3.21665100
-17.10988236	0.37308880	3.22275400
-17.10854836	0.37522510	3.23038400
-17.10721436	0.37598800	3.23038400
-17.10588036	0.37659840	3.23648800
